invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
1,122,989319-457,4/8/2018,3813.33,3813.33,0,3,5/8/2018,5/7/2018
2,123,263253241,4/10/2018,40.2,40.2,0,3,5/10/2018,5/14/2018
3,123,963253234,4/13/2018,138.75,138.75,0,3,5/13/2018,5/9/2018
4,123,2-000-2993,4/16/2018,144.7,144.7,0,3,5/16/2018,5/12/2018
5,123,963253251,4/16/2018,15.5,15.5,0,3,5/16/2018,5/11/2018
6,123,963253261,4/16/2018,42.75,42.75,0,3,5/16/2018,5/21/2018
7,123,963253237,4/21/2018,172.5,172.5,0,3,5/21/2018,5/22/2018
8,89,125520-1,4/24/2018,95,95,0,1,5/4/2018,5/1/2018
9,121,97/488,4/24/2018,601.95,601.95,0,3,5/24/2018,5/21/2018
10,123,263253250,4/24/2018,42.67,42.67,0,3,5/24/2018,5/22/2018
11,123,963253262,4/25/2018,42.5,42.5,0,3,5/25/2018,5/20/2018
12,96,I77271-O01,4/26/2018,662,662,0,2,5/16/2018,5/13/2018
13,95,111-92R-10096,4/30/2018,16.33,16.33,0,2,5/20/2018,5/23/2018
14,115,25022117,5/1/2018,6,6,0,4,6/10/2018,6/10/2018
15,48,P02-88D77S7,5/3/2018,856.92,856.92,0,3,6/2/2018,5/30/2018
16,97,21-4748363,5/3/2018,9.95,9.95,0,2,5/23/2018,5/22/2018
17,123,4-321-2596,5/5/2018,10,10,0,3,6/4/2018,6/5/2018
18,123,963253242,5/6/2018,104,104,0,3,6/5/2018,6/5/2018
19,34,QP58872,5/7/2018,116.54,116.54,0,1,5/17/2018,5/19/2018
20,115,24863706,5/10/2018,6,6,0,4,6/19/2018,6/15/2018
21,119,10843,5/11/2018,4901.26,4901.26,0,2,5/31/2018,5/29/2018
22,123,963253235,5/11/2018,108.25,108.25,0,3,6/10/2018,6/9/2018
23,97,21-4923721,5/13/2018,9.95,9.95,0,2,6/2/2018,5/28/2018
24,113,77290,5/13/2018,1750,1750,0,5,7/2/2018,7/5/2018
25,123,963253246,5/13/2018,129,129,0,3,6/12/2018,6/9/2018
26,123,4-342-8069,5/14/2018,10,10,0,3,6/13/2018,6/13/2018
27,88,972110,5/15/2018,207.78,207.78,0,1,5/25/2018,5/27/2018
28,123,963253263,5/16/2018,109.5,109.5,0,3,6/15/2018,6/10/2018
29,108,121897,5/19/2018,450,450,0,4,6/28/2018,7/3/2018
30,123,1-200-5164,5/20/2018,63.4,63.4,0,3,6/19/2018,6/24/2018
31,104,P02-3772,5/21/2018,7125.34,7125.34,0,3,6/20/2018,6/24/2018
32,121,97/486,5/21/2018,953.1,953.1,0,3,6/20/2018,6/22/2018
33,105,94007005,5/23/2018,220,220,0,3,6/22/2018,6/26/2018
34,123,963253232,5/23/2018,127.75,127.75,0,3,6/22/2018,6/18/2018
35,107,RTR-72-3662-X,5/25/2018,1600,1600,0,4,7/4/2018,7/9/2018
36,121,97/465,5/25/2018,565.15,565.15,0,3,6/24/2018,6/24/2018
37,123,963253260,5/25/2018,36,36,0,3,6/24/2018,6/26/2018
38,123,963253272,5/26/2018,61.5,61.5,0,3,6/25/2018,6/30/2018
39,110,0-2058,5/28/2018,37966.19,37966.19,0,3,6/27/2018,6/30/2018
