vendor_name,vendor_state
"Abbey Office Furnishings",CA
"American Booksellers Assoc",NY
"American Express",CA
"ASC Signs",CA
"Ascom Hasler Mailing Systems",CT
AT&T,AZ
"Aztek Label",CA
"Baker & Taylor Books",NC
"Bertelsmann Industry Svcs. Inc",CA
"BFI Industries",CA
"Bill Jones",CA
"Bill Marvin Electric Inc",CA
"Blanchard & Johnson Associates",CA
"Blue Cross",CA
"Blue Shield of California",CA
"Boucher Communications Inc",PA
"Cahners Publishing Company",NV
"Cal State Termite",CA
"California Business Machines",CA
"California Chamber Of Commerce",CA
"California Data Marketing",CA
"Capital Resource Credit",MN
"Cardinal Business Media, Inc.",PA
"Champion Printing Company",OH
"City Of Fresno",CA
"Cmg Information Services",MA
"Coffee Break Service",CA
Compuserve,OH
"Computer Library",AZ
Computerworld,CA
Costco,CA
"Courier Companies, Inc",MA
"Crown Printing",CA
"Custom Printing Company",MO
"Data Reproductions Corp",MI
Dataforms/West,CA
"Dean Witter Reynolds",MA
"Digital Dreamworks",CA
"Diversified Printing & Pub",CA
"DMV Renewal",CA
"Dristas Groom & McCormick",CA
"Edward Data Services",OH
"Enterprise Communications Inc",VA
"Evans Executone Inc",CA
"Executive Office Products",CA
"Expedata Inc",CA
"Federal Express Corporation",TN
"Ford Motor Credit Company",CA
"Franchise Tax Board",CA
"Frank E Wilber Co",CA
"Fresno County Tax Collector",CA
"Fresno Credit Bureau",CA
"Fresno Photoengraving Company",CA
"Fresno Rack & Shelving Inc",CA
"Gary McKeighan Insurance",CA
"Golden Eagle Insurance Co",CA
"Gostanian General Building",CA
Graylift,CA
IBM,CA
Ingram,TX
"Internal Revenue Service",CA
Jobtrak,CA
"Kent H Landsberg Co",CA
"Leslie Company",KS
"Lou Gentile's Flower Basket",CA
"Malloy Lithographing Inc",MI
"Mcgraw Hill Companies",IL
"McKesson Water Products",CA
"Micro Center",OH
"Nat Assoc of College Stores",OH
"National Information Data Ctr",DC
"Naylor Publications Inc",FL
"Net Asset, Llc",CA
"Newbrige Book Clubs",NJ
Nielson,OH
"Office Depot",CA
"Opamp Technical Books",CA
"Open Horizons Publishing",IA
"Pacific Bell",CA
"Pacific Gas & Electric",CA
"Ph Photographic Services",CA
Pollstar,CA
Postmaster,CA
"Publishers Marketing Assoc",CA
"Publishers Weekly",OH
"Quality Education Data",IL
"Register of Copyrights",DC
"Reiter's Scientific & Pro Books",DC
"Retirement Plan Consultants",CA
"Rich Advertising",NJ
"Roadway Package System, Inc",CA
"Robbins Mobile Lock And Key",CA
"RR Bowker",NJ
"Shields Design",CA
"Simon Direct Inc",NJ
"Small Press",MI
"Springhouse Corp",PA
"State Board Of Equalization",CA
"State of California",CA
"Suburban Propane",CA
Texaco,CA
"The Drawing Board",IL
"The Fresno Bee",CA
"The Library Ltd",MO
"The Mailers Guide Co",NY
"The Presort Center",CA
"The Windows Deck",CA
"Towne Advertiser's Mailing Svcs",CA
"United Parcel Service",NV
Unocal,CA
"US Postal Service",WI
Valprint,CA
"Venture Communications Int'l",NY
"Vision Envelope & Printing",CA
"Wakefield Co",CA
"Wang Laboratories, Inc.",CA
"Wells Fargo Bank",AZ
"Yale Industrial Trucks-Fresno",CA
"Yesmed, Inc",CA
"Zee Medical Service Co",IA
"Zip Print & Copy Center",CA
"Zylka Design",CA
