order_id,order_date,tax_amount,ship_date,product_name,final_price,item_total
1,"2018-03-28 09:40:28",32.32,"2018-03-30 15:32:51","Gibson Les Paul",839.30,1199.00
2,"2018-03-28 11:23:20",0.00,"2018-03-29 12:52:14","Yamaha FG700S",303.79,489.99
3,"2018-03-29 09:44:58",89.92,"2018-03-31 09:11:41","Gibson SG",1208.16,2517.00
3,"2018-03-29 09:44:58",89.92,"2018-03-31 09:11:41","Rodriguez Caballero 11",253.15,415.00
4,"2018-03-30 15:22:31",0.00,"2018-04-03 16:32:21","Gibson Les Paul",839.30,2398.00
5,"2018-03-31 05:43:11",0.00,"2018-04-02 14:21:12","Washburn D10S",299.00,299.00
6,"2018-03-31 18:37:22",0.00,NULL,"Washburn D10S",299.00,299.00
7,"2018-04-01 23:11:12",0.00,"2018-04-03 10:21:35","Fender Stratocaster",489.30,699.00
7,"2018-04-01 23:11:12",0.00,"2018-04-03 10:21:35","Fender Precision",559.99,799.99
7,"2018-04-01 23:11:12",0.00,"2018-04-03 10:21:35","Ludwig 5-piece Drum Set with Cymbals",489.99,699.99
8,"2018-04-02 11:26:38",0.00,NULL,"Tama 5-Piece Drum Set with Cymbals",679.99,799.99
9,"2018-04-03 12:22:31",0.00,NULL,"Fender Stratocaster",489.30,699.00
